sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,base_image,thumbnail_image,small_image,additional_images
FS0201,en,Default,simple,"Default Category/Produkte/Parts/Klettbänder",base,,,,0.05,1,"Taxable Goods","Katalog, Suche",7.24011142061,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0202,en,Default,simple,"Default Category/Produkte/Parts/Klettbänder",base,,,,0.02,1,"Taxable Goods","Katalog, Suche",3.24902506964,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0203,en,Default,simple,"Default Category/Produkte/Parts/Klettbänder",base,,,,0.04,1,"Taxable Goods","Katalog, Suche",8.82451253482,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0204,en,Default,simple,"Default Category/Produkte/Parts/Klettbänder",base,,,,0.03,1,"Taxable Goods","Katalog, Suche",5.38495821727,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0167,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.01,1,"Taxable Goods","Katalog, Suche",2.32124791086,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0207,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.01,1,"Taxable Goods","Katalog, Suche",2.32124791086,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FC45KVF,en,Default,simple,"Default Category/Produkte/Parts/Schnallen zweiteilig,Default Category/Produkte/Parts/Austri Alpin",base,,,,0.07,1,"Taxable Goods","Katalog, Suche",20.7984735376,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FC25KVF,en,Default,simple,"Default Category/Produkte/Parts/Schnallen zweiteilig,Default Category/Produkte/Parts/Austri Alpin",base,,,,0.06,1,"Taxable Goods","Katalog, Suche",20.2414261838,,,,,,,,,,,,,,,,,,,,,,,,,,994,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0210,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.02,1,"Taxable Goods","Katalog, Suche",3.62005571031,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0211,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.02,1,"Taxable Goods","Katalog, Suche",3.15877437326,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0212,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.02,1,"Taxable Goods","Katalog, Suche",4.73314763231,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0213,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.04,1,"Taxable Goods","Katalog, Suche",4.92367688022,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FM20KVF,en,Default,simple,"Default Category/Produkte/Parts/Schnallen zweiteilig,Default Category/Produkte/Parts/Austri Alpin",base,,,,0.02,1,"Taxable Goods","Katalog, Suche",14.6703509749,,,,,,,,,,,,,,,,,,,,,,,,,,995,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0215,en,Default,simple,"Default Category/Produkte/Parts/Schnallen zweiteilig,Default Category/Produkte/Parts/Austri Alpin",base,,,,0.02,1,"Taxable Goods","Katalog, Suche",14.0189415042,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0216,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.04,1,"Taxable Goods","Katalog, Suche",11.652367688,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0217,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.04,1,"Taxable Goods","Katalog, Suche",11.652367688,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0218,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.05,1,"Taxable Goods","Katalog, Suche",5.47520891365,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0219,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.03,1,"Taxable Goods","Katalog, Suche",9.56657381616,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0220,en,Default,simple,"Default Category/Produkte/Parts/Austri Alpin",base,,,,0.01,1,"Taxable Goods","Katalog, Suche",4.73314763231,,,,,,,,,,,,,,,,,,,,,,,,,,996,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0221,en,Default,simple,"Default Category/Produkte/Parts/Schnallen zweiteilig",base,,,,0.05,1,"Taxable Goods","Katalog, Suche",5.10417827298,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0222,en,Default,simple,"Default Category/Produkte/Parts/Schnallen / Gurtzubehör",base,,,,0.01,1,"Taxable Goods","Katalog, Suche",2.32124791086,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0226,en,Default,simple,"Default Category/Produkte/Parts/Gurten / Gummibänder",base,,,,0.01,1,"Taxable Goods","Katalog, Suche",1.94540389972,,,,,,,,,,,,,,,,,,,,,,,,,,985,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0227,en,Default,simple,"Default Category/Produkte/Parts/Gurten / Gummibänder",base,,,,0.01,1,"Taxable Goods","Katalog, Suche",2.32124791086,,,,,,,,,,,,,,,,,,,,,,,,,,995,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0228,en,Default,simple,"Default Category/Produkte/Parts/Gurten / Gummibänder",base,,,,0.01,1,"Taxable Goods","Katalog, Suche",3.24902506964,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0229,en,Default,simple,"Default Category/Produkte/Parts/Gurten / Gummibänder",base,,,,0.01,1,"Taxable Goods","Katalog, Suche",1.20334261838,,,,,,,,,,,,,,,,,,,,,,,,,,988,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0230,en,Default,simple,"Default Category/Produkte/Parts/Gurten / Gummibänder",base,,,,0.01,1,"Taxable Goods","Katalog, Suche",1.57437325905,,,,,,,,,,,,,,,,,,,,,,,,,,970,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0248,en,Default,simple,"Default Category/Produkte/Parts/Spezialteile",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",5.10678551532,,,,,,,,,,,,,,,,,,,,,,,,,,995,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0071,en,Default,simple,"Default Category/Produkte/Parts/Spezialteile",base,,,,0.03,1,"Taxable Goods","Katalog, Suche",13.4632980501,,,,,,,,,,,,,,,,,,,,,,,,,,94,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0249,en,Default,simple,"Default Category/Produkte/Parts/Karabiner / Ringe",base,,,,0.03,1,"Taxable Goods","Katalog, Suche",4.17830640669,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0250,en,Default,simple,"Default Category/Produkte/Parts/Kordel / Kordelzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",1.39276880223,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0251,en,Default,simple,"Default Category/Produkte/Parts/Kordel / Kordelzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",0.928479108635,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0252,en,Default,simple,"Default Category/Produkte/Parts/Kordel / Kordelzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",0.928479108635,,,,,,,,,,,,,,,,,,,,,,,,,,929,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0253,en,Default,simple,"Default Category/Produkte/Parts/Kordel / Kordelzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",1.11419498607,,,,,,,,,,,,,,,,,,,,,,,,,,987,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0254,en,Default,simple,"Default Category/Produkte/Parts/Kordel / Kordelzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",1.11419498607,,,,,,,,,,,,,,,,,,,,,,,,,,984,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0255,en,Default,simple,"Default Category/Produkte/Parts/Kordel / Kordelzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",1.11419498607,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0256,en,Default,simple,"Default Category/Produkte/Parts/Schnallen / Gurtzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",1.29991086351,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0257,en,Default,simple,"Default Category/Produkte/Parts/Schnallen / Gurtzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",1.39276880223,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0258,en,Default,simple,"Default Category/Produkte/Parts/Schnallen / Gurtzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",0.464289693593,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
FS0259,en,Default,simple,"Default Category/Produkte/Parts/Schnallen / Gurtzubehör",base,,,,0.00,1,"Taxable Goods","Katalog, Suche",0.557147632312,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
