sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,base_image,thumbnail_image,small_image,additional_images
FS0024,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 6mm Trapez,"<p>Werden im Gleitschirmbereich zur Verbindung von Gurtzeug und Notschirm verwendet.</p>
<p>Ideal zum verbinden von unterschiedlichen Gurtbreiten.</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>45g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",16.7131253482,,,,,,,,,,,,,,,,,,,,,,,,,,993,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-trapeze-photo.jpg,peguet_maillon_rapide-maillon-rapide-trapeze-photo.jpg,peguet_maillon_rapide-maillon-rapide-trapeze-photo.jpg,peguet_maillon_rapide-maillon-rapide-trapez-tabelle_highres.jpg
FS0352,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 4mm Trapez,"<p>Ideal zum verbinden von unterschiedlichen Gurtbreiten.</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>15g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",12.9991086351,,,,,,,,,,,,,,,,,,,,,,,,,,997,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-trapeze-photo.jpg,peguet_maillon_rapide-maillon-rapide-trapeze-photo.jpg,peguet_maillon_rapide-maillon-rapide-trapeze-photo.jpg,peguet_maillon_rapide-maillon-rapide-trapez-tabelle_highres.jpg
FS0353,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 3.5mm Trapez,"<p>Ideal zum verbinden von unterschiedlichen Gurtbreiten.</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>15g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",11.1420501393,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-trapeze-photo.jpg,peguet_maillon_rapide-maillon-rapide-trapeze-photo.jpg,peguet_maillon_rapide-maillon-rapide-trapeze-photo.jpg,peguet_maillon_rapide-maillon-rapide-trapez-tabelle_highres.jpg
FS0023,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 6mm Delta,"<p>Werden im Gleitschirmbereich zur Verbindung von Gurtzeug und Notschirm verwendet.</p>
<p>Ideal zum verbinden von Gurten und Seilen.</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>40g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",14.8560668524,,,,,,,,,,,,,,,,,,,,,,,,,,977,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-tabelle_highres.png
FS0246,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 5mm Delta,"<p>Ideal zum verbinden von Gurten und Seilen.</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>24g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",12.9991086351,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-tabelle_highres.png
FS0354,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 4mm Delta,"<p>Ideal zum verbinden von Gurten und Seilen.</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>14g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",6.9637437326,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-tabelle_highres.png
FS0355,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 3.5mm Delta,"<p>Ideal zum verbinden von Gurten und Seilen.</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>10g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",5.5710752089,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-tabelle_highres.png
FS0356,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 2.5mm Delta,"<p>Ideal zum verbinden von Gurten und Seilen.</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>3g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",5.1067855153,,,,maillon-rapide-2.5mm-delta-parts,,,,,,,,,,,,,,,,,,,,,,997,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-tabelle_highres.png
FS0163,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 5mm Aufhängung,"<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>25g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",13.9275877437,,,,maillon-rapide-5mm-aufhaengung-parts,,,,,,,,,,,,,,,,,,,,,,987,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-suspente-photo.jpg,peguet_maillon_rapide-maillon-rapide-suspente-photo.jpg,peguet_maillon_rapide-maillon-rapide-suspente-photo.jpg,peguet_maillon_rapide-maillon-rapide-suspente-tabelle_highres.jpg
FS0357,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 3.5mm Aufhängung,"<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>25g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",12.5348189415,,,,,,,,,,,,,,,,,,,,,,,,,,997,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-suspente-photo.jpg,peguet_maillon_rapide-maillon-rapide-suspente-photo.jpg,peguet_maillon_rapide-maillon-rapide-suspente-photo.jpg,peguet_maillon_rapide-maillon-rapide-suspente-tabelle_highres.jpg
